alpha_prd,beta_sfd,gamma_gkr,retain_recall@10,retain_ndcg@10,forget_recall@10,forget_ndcg@10,retain_recall@20,retain_ndcg@20,forget_recall@20,forget_ndcg@20,zrf_score
0.5,0.5,0.5,0.1527516092628871,0.3710985222496694,0.08885983421558152,0.1677137825491294,0.2583494606886686,0.38796463306413356,0.1409883304670387,0.16843096683268874,0.9576717628341005
0.5,0.6,0.5,0.15294955268740898,0.37298887396297403,0.08038450890776022,0.1590533410353355,0.2613252464863418,0.38950601385456105,0.12009427767613791,0.1520536632855524,0.9594382227948248
0.5,0.7,0.5,0.15125924491461248,0.3689676212489264,0.09141436805587717,0.16632730622802736,0.2617009387301698,0.39578010801227916,0.13915388784827057,0.16652898165742905,0.9627772515712621
0.5,0.8,0.5,0.1525521977191453,0.3708530489920494,0.07436238645329894,0.13729318313206387,0.26280098745919392,0.39732846201621016,0.1278934616581073,0.14604025022233882,0.9641624880171064
0.5,0.9,0.5,0.15286593130967813,0.3701675374888684,0.07119243901648027,0.1440292604974396,0.2628441442962275,0.39657700341084403,0.11725264637163463,0.1499722057851064,0.9659155008981269
0.5,1.0,0.5,0.15168665608262438,0.36798387460631243,0.07114909515710291,0.1448878311924977,0.26285838519069993,0.3954182779483027,0.11848217603190052,0.14288408199265606,0.967359785346236
0.5,0.5,0.1,0.1518548452047458,0.3707283670380451,0.07835943333791547,0.166734291973502,0.2343008251265807,0.35779544737862784,0.12228007779244804,0.1622087683530474,0.9321129869377278
0.5,0.5,0.2,0.15196420101175048,0.3706323310975387,0.0708918824787359,0.1406044937967663,0.23755245152611512,0.35954050567793677,0.12131932220415514,0.14861464839525948,0.9351404452391071
0.5,0.5,0.3,0.1525950139597746,0.3719880339956605,0.0821378132149458,0.16381132795432402,0.23941405651370645,0.36207788900429954,0.12889465452664264,0.16049016288807622,0.9394134684815237
0.5,0.5,0.4,0.15169055970887788,0.3700622280231955,0.08108159140104802,0.15328582235518873,0.24067324137240034,0.3784389055215338,0.12300496317049878,0.15377169805484273,0.9463506937459456
0.5,0.5,0.5,0.15184772133545335,0.3703975520585519,0.0690055201028079,0.13588864503480805,0.25281084460427235,0.3782542536235974,0.1258477387538819,0.15019290642452468,0.9521562428166629
0.5,0.5,0.6,0.15115239189113513,0.369524528419416,0.0784989741660132,0.1650282965839154,0.25391721983098338,0.38598206103514113,0.12605712212070547,0.16527978873437563,0.958983817928246
0.5,0.5,0.7,0.1519265735843257,0.37072274895751284,0.07254138628655439,0.15271481366326536,0.25607959798622195,0.3870506023051108,0.1165183991727819,0.15175260748275518,0.9572512970728349
0.5,0.5,0.8,0.15227612536266474,0.3712189657605507,0.06303386121145199,0.15207762083901327,0.25674166405912866,0.3881049717768098,0.10930370863481241,0.1473372541934514,0.9564540999292371
